                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2751,                0.76241,                 1.0851,                0.93166,                0.54724,                0.60548,                0.36989,                 1.3082,                0.71162,                  1.123,             0.00047453,             0.00047453,             0.00047453
                      2,                 1.3254,                 0.8138,                 1.1059,                0.91945,                0.53444,                 0.5915,                0.35629,                 1.3503,                0.76541,                 1.1419,             0.00094145,             0.00094145,             0.00094145
                      3,                 1.3541,                0.84435,                 1.1277,                0.91556,                0.53478,                0.58408,                0.35371,                 1.3498,                0.80247,                 1.1559,              0.0013989,              0.0013989,              0.0013989
                      4,                 1.3254,                0.83689,                 1.1135,                0.93537,                0.53551,                0.59758,                0.35936,                 1.3283,                0.76498,                 1.1338,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3068,                0.80466,                  1.104,                0.92818,                0.54843,                0.59781,                0.36472,                 1.3259,                0.73896,                 1.1394,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2991,                0.78369,                 1.0966,                0.93146,                0.55506,                0.60518,                0.36821,                 1.2905,                0.72341,                 1.1204,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2726,                0.76896,                 1.0946,                0.94904,                0.55698,                0.61411,                0.37658,                 1.2995,                0.67803,                 1.1184,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2889,                0.76177,                 1.0959,                0.93821,                0.57187,                0.61935,                 0.3868,                 1.2734,                0.66848,                 1.1111,                0.00133,                0.00133,                0.00133
                      9,                 1.2786,                0.75312,                 1.0918,                0.94168,                0.56532,                0.61668,                0.38946,                 1.2771,                0.65726,                 1.1159,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2702,                0.74776,                 1.0897,                 0.9442,                0.56803,                0.62121,                0.38797,                 1.2629,                0.65545,                 1.1065,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2493,                0.72043,                 1.0817,                0.94393,                0.57332,                0.62325,                0.39673,                  1.245,                0.64049,                  1.102,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2389,                0.72493,                  1.072,                0.94205,                0.57039,                0.62196,                0.39135,                 1.2805,                0.65764,                 1.1124,              0.0012734,              0.0012734,              0.0012734
                     13,                  1.239,                0.72584,                 1.0765,                0.94602,                0.56361,                0.61944,                0.39373,                 1.2613,                0.64418,                 1.0999,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2266,                0.70629,                 1.0671,                0.94777,                 0.5742,                0.62309,                0.40057,                 1.2413,                0.63217,                 1.0969,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2179,                0.69289,                 1.0674,                 0.9459,                0.57031,                0.62586,                0.38708,                 1.2733,                0.63862,                 1.1068,              0.0012309,              0.0012309,              0.0012309
