                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94336,                0.46167,                0.95049,                0.61974,                0.64271,                0.63916,                 0.4228,                  1.203,                0.55606,                 1.0849,             0.00047453,             0.00047453,             0.00047453
                      2,                0.99234,                0.49357,                0.96467,                0.62617,                0.61046,                0.63585,                 0.4161,                 1.2093,                0.58186,                 1.0843,             0.00094145,             0.00094145,             0.00094145
                      3,                 1.0307,                0.53101,                0.98233,                0.60902,                0.61726,                0.63251,                0.40835,                 1.2467,                0.59075,                 1.0967,              0.0013989,              0.0013989,              0.0013989
                      4,                 1.0396,                 0.5433,                0.98787,                0.62803,                0.59794,                0.63441,                0.40454,                  1.247,                0.59367,                 1.1015,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.0529,                 0.5555,                0.99076,                0.64419,                0.62327,                0.63651,                0.41434,                 1.2289,                0.59682,                 1.0906,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.0596,                0.55338,                0.99325,                0.61198,                0.59815,                0.63131,                0.41193,                 1.2274,                0.57834,                 1.0892,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.0436,                0.54782,                0.99233,                0.61527,                0.59253,                0.63324,                0.40814,                 1.2409,                0.59767,                 1.0928,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.057,                0.55398,                0.99227,                 0.6192,                0.59125,                 0.6343,                 0.4115,                 1.2339,                0.58254,                 1.0949,                0.00133,                0.00133,                0.00133
                      9,                 1.0546,                0.55562,                0.99269,                0.63654,                0.61699,                0.63195,                0.40665,                 1.2373,                0.59015,                 1.0967,              0.0013158,              0.0013158,              0.0013158
                     10,                  1.053,                0.54868,                0.99349,                0.61548,                 0.6197,                0.63296,                0.41351,                 1.2159,                0.57624,                 1.0882,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0422,                0.53981,                0.98922,                0.61897,                0.59363,                0.63295,                0.41298,                 1.2237,                0.56998,                 1.0902,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0424,                0.54484,                0.98496,                0.60365,                0.59905,                0.62856,                0.41064,                 1.2432,                0.59766,                 1.1002,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0447,                0.54581,                0.98812,                0.67997,                0.61039,                0.63477,                0.41242,                 1.2279,                0.58106,                 1.0917,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0421,                0.53489,                0.98616,                0.61383,                0.61376,                0.63241,                0.42002,                 1.2032,                0.57211,                 1.0796,              0.0012451,              0.0012451,              0.0012451
                     15,                  1.028,                0.52911,                0.98333,                0.61343,                0.59448,                0.63274,                0.40188,                 1.2384,                0.59465,                 1.0923,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.0283,                0.52241,                0.97918,                0.61768,                0.60457,                0.63562,                0.41856,                 1.2226,                0.57371,                 1.0937,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.0185,                0.51466,                0.97936,                0.63438,                0.59356,                0.63462,                0.40901,                 1.2519,                0.57748,                 1.0995,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.0237,                 0.5166,                0.97834,                0.61296,                0.59577,                0.63217,                0.41684,                 1.2242,                0.57416,                 1.0936,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.0159,                 0.5155,                0.97411,                0.63538,                0.62383,                0.63875,                0.41743,                 1.2133,                0.57021,                 1.0898,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.0171,                0.51959,                0.97826,                 0.6143,                0.61127,                0.63428,                0.41043,                 1.2414,                0.58086,                 1.0877,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.0154,                0.50769,                0.97472,                0.62041,                0.60879,                0.63463,                0.41329,                 1.2316,                0.56794,                 1.0891,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.0141,                0.51388,                 0.9735,                0.63627,                0.61502,                0.63348,                0.41488,                 1.2162,                0.56562,                 1.0907,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.0076,                0.50697,                0.96882,                0.61271,                0.62566,                0.63597,                0.41805,                 1.2189,                0.56583,                 1.0918,              0.0011178,              0.0011178,              0.0011178
                     24,                 0.9997,                0.50205,                0.96633,                0.62144,                0.62139,                0.63439,                0.41956,                 1.2073,                0.55838,                 1.0875,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0015,                0.50242,                0.96981,                0.65202,                 0.6136,                0.63474,                0.41851,                 1.2139,                0.55958,                 1.0916,              0.0010895,              0.0010895,              0.0010895
                     26,                0.99783,                0.50309,                0.96952,                0.65134,                0.60103,                0.63421,                 0.4158,                 1.2108,                 0.5552,                 1.0867,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.0013,                0.50001,                0.96763,                  0.628,                0.59427,                0.63152,                 0.4143,                 1.2182,                0.56569,                 1.0849,              0.0010612,              0.0010612,              0.0010612
